Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
26,Fri,2022-02-18,Konyaspor,4–4,Kasımpaşa,Umit Öztürk
26,Sat,2022-02-19,Yeni Mal'spor,1–2,Antalyaspor,Atilla Karaoğlan
26,Sat,2022-02-19,Kayserispor,2–1,Giresunspor,Ali Palabıyık
26,Sat,2022-02-19,Beşiktaş,1–0,Altay,Volkan Bayarslan
26,Sun,2022-02-20,Gaziantep FK,0–3,Adana Demirspor,Kadir Sağlam
26,Sun,2022-02-20,Fatih Karagümrük,1–0,Sivasspor,Mert Güzenge
Wk,Day,Date,Home,Score,Away,Referee
26,Sun,2022-02-20,Alanyaspor,0–4,Trabzonspor,Halil Umut Meler
26,Sun,2022-02-20,Fenerbahçe,2–0,Hatayspor,Yasin Kol
26,Mon,2022-02-21,Göztepe,2–3,Galatasaray,Arda Kardeşler
,,,,,,
21,Tue,2022-02-22,Başakşehir,2–1,Konyaspor,Sarper Barış Saka
,,,,,,
22,Wed,2022-02-23,Gaziantep FK,0–0,Yeni Mal'spor,Umit Öztürk
,,,,,,
27,Fri,2022-02-25,Adana Demirspor,0–0,Antalyaspor,Alper Ulusoy
27,Fri,2022-02-25,Trabzonspor,3–2,Kayserispor,Erkan Özdamar
27,Sat,2022-02-26,Başakşehir,1–2,Fatih Karagümrük,Yasin Kol
27,Sat,2022-02-26,Sivasspor,2–3,Beşiktaş,Sarper Barış Saka
27,Sun,2022-02-27,Giresunspor,3–1,Göztepe,Cüneyt Çakιr
27,Sun,2022-02-27,Altay,3–2,Gaziantep FK,Yaşar Kemal Uğurlu
27,Sun,2022-02-27,Alanyaspor,5–1,Konyaspor,Volkan Bayarslan
27,Sun,2022-02-27,Hatayspor,5–2,Yeni Mal'spor,Çağdaş Altay
27,Sun,2022-02-27,Galatasaray,4–2,Rizespor,Umit Öztürk
27,Mon,2022-02-28,Kasımpaşa,1–2,Fenerbahçe,Mete Kalkavan
,,,,,,
28,Fri,2022-03-04,Yeni Mal'spor,1–0,Adana Demirspor,Yasin Kol
28,Sat,2022-03-05,Rizespor,1–2,Giresunspor,Yaşar Kemal Uğurlu
28,Sat,2022-03-05,Göztepe,2–3,Kasımpaşa,Atilla Karaoğlan
28,Sat,2022-03-05,Konyaspor,2–0,Galatasaray,Ali Şansalan
28,Sun,2022-03-06,Fatih Karagümrük,0–0,Altay,Sarper Barış Saka
28,Sun,2022-03-06,Fenerbahçe,1–1,Trabzonspor,Zorbay Küçük
28,Sun,2022-03-06,Antalyaspor,1–0,Sivasspor,Cüneyt Çakιr
